;Married;Number of Dependents;Zip Code;Number of Referrals;Tenure in Months;Offer;Internet Type;Avg Monthly GB Download;Contract;Paperless Billing;Payment Method;Monthly Charge;Age_disc;Total Streaming;Premium Services;Refunds;Average Monthly Extra Data Charges;Churn Status
1526;No;0;959;0;29;None;DSL;19.0;Month-to-Month;Yes;Bank Withdrawal;68.85;45;2;4;0.0;0.0;Churned
1527;Yes;0;902;1;54;Offer B;None;0.0;Two Year;No;Credit Card;20.05;60;0;0;0.0;0.0;Customer
1528;Yes;1;927;1;26;Offer C;DSL;57.0;One Year;Yes;Credit Card;82.0;50;3;4;1.0;0.0;Customer
1529;No;0;932;0;4;Offer E;Cable;16.0;Month-to-Month;Yes;Mailed Check;24.25;50;0;1;0.0;0.0;Churned
1530;No;0;953;0;39;Offer C;DSL;15.0;Two Year;Yes;Bank Withdrawal;49.8;60;0;2;0.0;0.0;Customer
1531;No;0;921;0;69;Offer A;DSL;22.0;Two Year;Yes;Credit Card;82.45;45;3;4;1.0;0.0;Customer
1532;No;0;917;0;37;None;Cable;30.0;Two Year;No;Bank Withdrawal;65.6;35;0;5;0.0;0.0;Customer
1533;Yes;1;923;1;8;None;Fiber Optic;82.0;Month-to-Month;Yes;Bank Withdrawal;94.75;25;3;2;0.0;0.0;Customer
1534;Yes;1;926;1;24;Offer C;DSL;18.0;Month-to-Month;No;Bank Withdrawal;54.75;65;0;3;0.0;0.0;Churned
1535;Yes;1;943;1;57;None;None;0.0;One Year;No;Credit Card;19.4;45;0;0;0.0;0.0;Customer
1536;No;0;933;0;1;Offer E;Fiber Optic;59.0;Month-to-Month;Yes;Bank Withdrawal;70.25;25;0;1;0.0;0.0;Churned
1537;Yes;0;902;1;47;Offer B;Fiber Optic;30.0;One Year;Yes;Bank Withdrawal;78.9;30;0;3;0.0;0.0;Customer
1538;No;0;922;0;19;None;None;0.0;Month-to-Month;No;Credit Card;19.9;45;0;0;0.0;0.0;Customer
1539;No;0;923;0;1;Offer E;None;0.0;Month-to-Month;Yes;Mailed Check;20.15;40;0;0;0.0;0.0;Churned
1540;No;0;930;0;1;Offer E;Fiber Optic;23.0;Month-to-Month;No;Mailed Check;70.9;45;0;1;0.0;0.0;Churned
1541;Yes;0;953;1;11;Offer D;Fiber Optic;14.0;Month-to-Month;Yes;Bank Withdrawal;99.55;80;2;3;0.0;0.0;Churned
1542;Yes;0;951;1;34;None;Fiber Optic;48.0;Month-to-Month;No;Credit Card;88.85;30;2;3;0.0;0.0;Customer
1543;No;0;954;0;3;Offer E;DSL;29.0;Month-to-Month;Yes;Bank Withdrawal;49.15;45;0;1;0.0;3.3333333333333335;Churned
1544;Yes;0;905;1;72;Offer A;None;0.0;Two Year;No;Credit Card;19.4;40;0;0;0.0;0.0;Customer
1545;No;0;902;0;72;None;Fiber Optic;73.0;Two Year;Yes;Bank Withdrawal;109.9;20;3;5;0.0;0.0;Customer
1546;Yes;0;960;1;43;Offer B;DSL;21.0;Month-to-Month;No;Credit Card;55.55;70;2;3;0.0;0.0;Churned
1547;Yes;0;930;1;9;Offer E;Cable;69.0;Month-to-Month;No;Mailed Check;65.0;20;0;5;0.0;0.0;Churned
1548;Yes;1;928;1;56;None;None;0.0;Two Year;Yes;Credit Card;24.95;40;0;1;0.0;0.0;Customer
1549;Yes;1;922;0;65;Offer B;DSL;69.0;Two Year;Yes;Bank Withdrawal;82.5;25;3;4;0.0;0.6153846153846154;Customer
1550;No;0;950;0;2;None;Fiber Optic;6.0;Month-to-Month;Yes;Bank Withdrawal;85.7;40;2;2;0.0;0.0;Churned
1551;No;0;926;0;29;None;Cable;59.0;Month-to-Month;Yes;Bank Withdrawal;31.2;30;0;2;0.0;0.0;Customer
1552;No;0;952;0;4;Offer E;Fiber Optic;82.0;Month-to-Month;Yes;Bank Withdrawal;80.1;25;0;3;0.0;0.0;Customer
1553;Yes;1;916;1;18;None;DSL;30.0;Month-to-Month;No;Credit Card;55.95;35;1;1;0.0;0.0;Customer
1554;No;0;906;0;6;Offer E;None;0.0;Month-to-Month;No;Credit Card;20.7;30;0;0;0.0;0.0;Customer
1555;No;0;957;0;35;Offer C;None;0.0;One Year;No;Bank Withdrawal;20.6;20;0;0;0.0;0.0;Customer
1556;No;1;923;0;10;Offer D;None;0.0;Month-to-Month;No;Credit Card;24.8;60;0;1;0.0;0.0;Customer
1557;No;0;917;0;7;None;Fiber Optic;48.0;Month-to-Month;No;Bank Withdrawal;96.2;20;3;2;0.0;0.0;Customer
1558;No;0;921;0;11;Offer D;DSL;13.0;Month-to-Month;No;Bank Withdrawal;53.75;60;0;3;0.0;0.0;Churned
1559;Yes;0;954;0;72;None;Fiber Optic;59.0;Two Year;Yes;Bank Withdrawal;105.5;25;3;4;0.0;0.0;Customer
1560;No;0;951;0;1;None;Fiber Optic;8.0;Month-to-Month;Yes;Credit Card;70.45;40;0;0;0.0;10.0;Churned
1561;No;0;955;0;54;None;Fiber Optic;10.0;Month-to-Month;Yes;Bank Withdrawal;79.5;70;0;3;0.0;0.0;Churned
1562;No;0;940;0;25;Offer C;None;0.0;One Year;No;Bank Withdrawal;25.3;60;0;1;0.0;0.0;Churned
1563;No;0;926;0;1;None;Fiber Optic;2.0;Month-to-Month;Yes;Bank Withdrawal;91.3;70;3;1;0.0;0.0;Churned
1564;Yes;0;914;1;34;Offer C;Fiber Optic;15.0;Month-to-Month;Yes;Credit Card;79.6;80;0;3;0.0;0.0;Churned
1565;No;0;903;0;52;None;None;0.0;Two Year;No;Bank Withdrawal;21.0;60;0;0;0.0;0.0;Customer
1566;No;0;940;0;9;None;Fiber Optic;17.0;Month-to-Month;Yes;Bank Withdrawal;83.3;45;2;2;0.0;0.0;Churned
1567;No;0;930;0;6;Offer E;Fiber Optic;26.0;Month-to-Month;Yes;Bank Withdrawal;98.15;20;2;5;0.0;0.0;Churned
1568;Yes;0;900;1;65;None;Fiber Optic;9.0;Two Year;Yes;Bank Withdrawal;108.8;70;2;4;1.0;0.0;Customer
1569;Yes;1;921;1;15;None;None;0.0;Month-to-Month;Yes;Bank Withdrawal;20.0;60;0;0;0.0;0.0;Churned
1570;Yes;0;921;1;32;Offer C;Fiber Optic;11.0;Month-to-Month;Yes;Bank Withdrawal;78.9;60;0;3;0.0;0.0;Churned
1571;Yes;0;955;1;60;Offer B;DSL;30.0;One Year;Yes;Bank Withdrawal;65.85;35;0;5;0.0;0.0;Customer
1572;No;0;930;0;40;None;Fiber Optic;23.0;Two Year;Yes;Bank Withdrawal;91.55;70;2;1;0.0;0.0;Customer
1573;Yes;1;949;1;23;Offer D;DSL;19.0;Month-to-Month;Yes;Bank Withdrawal;30.35;45;0;2;0.0;0.0;Customer
1574;No;1;900;0;15;None;Fiber Optic;20.0;Month-to-Month;Yes;Credit Card;99.1;35;3;3;0.0;0.0;Churned
1575;Yes;0;954;1;7;Offer E;Fiber Optic;73.0;Month-to-Month;Yes;Bank Withdrawal;69.0;25;1;1;0.0;0.0;Churned
1576;Yes;1;913;1;6;None;Fiber Optic;29.0;Month-to-Month;Yes;Bank Withdrawal;91.0;40;2;3;0.0;0.0;Churned
1577;Yes;0;935;1;61;Offer B;None;0.0;Two Year;Yes;Credit Card;24.1;25;0;1;0.0;0.0;Customer
1578;Yes;1;954;1;49;Offer B;Fiber Optic;20.0;Month-to-Month;Yes;Credit Card;90.4;60;1;3;0.0;0.0;Customer
1579;Yes;0;945;1;13;Offer D;Fiber Optic;4.0;Month-to-Month;Yes;Bank Withdrawal;98.0;80;2;3;0.0;0.0;Churned
1580;No;0;959;0;8;Offer E;Fiber Optic;6.0;Month-to-Month;No;Bank Withdrawal;100.85;55;3;3;0.0;0.0;Churned
1581;Yes;0;936;1;50;Offer B;None;0.0;Two Year;No;Bank Withdrawal;19.8;55;0;0;0.0;0.0;Customer
1582;No;0;939;0;2;None;Cable;2.0;Month-to-Month;Yes;Bank Withdrawal;75.7;55;0;2;0.0;0.0;Churned
1583;Yes;0;940;1;69;None;DSL;42.0;One Year;Yes;Credit Card;60.8;25;3;4;0.0;0.0;Customer
1584;Yes;1;932;1;61;None;DSL;76.0;Month-to-Month;No;Bank Withdrawal;33.6;25;0;2;0.0;1.8032786885245902;Customer
1585;No;0;933;0;49;None;Cable;23.0;Two Year;No;Bank Withdrawal;67.4;35;0;5;0.0;0.0;Customer
1586;Yes;0;956;1;71;Offer A;Fiber Optic;28.0;One Year;Yes;Bank Withdrawal;105.7;50;3;4;0.0;0.0;Customer
1587;No;0;925;0;46;None;Cable;19.0;One Year;Yes;Bank Withdrawal;30.75;45;0;2;0.0;0.0;Customer
1588;Yes;0;959;1;19;Offer D;Fiber Optic;23.0;Month-to-Month;Yes;Bank Withdrawal;96.8;60;3;2;0.0;0.0;Customer
1589;No;0;961;0;34;None;Fiber Optic;2.0;Month-to-Month;Yes;Bank Withdrawal;105.1;40;3;4;0.0;0.0;Customer
1590;No;0;941;0;39;Offer C;Fiber Optic;23.0;Month-to-Month;Yes;Bank Withdrawal;95.65;80;2;1;0.0;3.8461538461538463;Churned
1591;Yes;1;926;1;35;Offer C;None;0.0;One Year;No;Bank Withdrawal;20.05;25;0;0;0.0;0.0;Customer
1592;No;0;954;0;60;None;Fiber Optic;10.0;Two Year;Yes;Bank Withdrawal;89.55;35;1;3;0.0;0.0;Customer
1593;Yes;0;956;1;47;Offer B;Fiber Optic;21.0;Month-to-Month;Yes;Bank Withdrawal;104.1;60;3;4;0.0;0.0;Customer
1594;No;0;957;0;27;None;Cable;15.0;Month-to-Month;No;Mailed Check;49.0;60;0;2;0.0;0.0;Customer
1595;Yes;0;907;1;23;Offer D;Cable;48.0;Month-to-Month;Yes;Credit Card;73.65;20;3;3;0.0;0.0;Customer
1596;No;0;921;0;5;Offer E;Fiber Optic;23.0;Month-to-Month;Yes;Credit Card;81.0;60;1;0;0.0;2.0;Churned
1597;No;0;956;0;27;None;None;0.0;Two Year;Yes;Bank Withdrawal;20.25;60;0;0;0.0;0.0;Customer
1598;No;0;959;0;15;Offer D;Fiber Optic;19.0;Month-to-Month;No;Bank Withdrawal;75.65;70;0;2;0.0;0.0;Churned
1599;No;1;921;0;50;Offer B;DSL;76.0;One Year;Yes;Bank Withdrawal;43.05;40;1;3;0.0;0.0;Customer
1600;Yes;0;936;1;68;None;Fiber Optic;19.0;One Year;Yes;Credit Card;96.55;70;1;4;0.0;0.0;Churned
1601;Yes;0;960;1;48;Offer B;Cable;8.0;One Year;Yes;Credit Card;70.55;40;2;4;0.0;0.0;Customer
1602;No;0;933;0;4;None;Cable;5.0;Month-to-Month;No;Mailed Check;49.25;35;0;2;0.0;0.0;Customer
1603;Yes;1;947;1;71;Offer A;DSL;53.0;Two Year;No;Bank Withdrawal;85.45;35;3;5;0.0;0.0;Customer
1604;Yes;0;951;1;53;None;Cable;6.0;One Year;Yes;Bank Withdrawal;60.05;70;0;3;0.0;1.8867924528301887;Churned
1605;No;0;922;0;13;None;DSL;21.0;Month-to-Month;No;Mailed Check;73.35;65;3;3;1.0;0.0;Customer
1606;No;0;900;0;52;Offer B;Cable;73.0;Two Year;Yes;Credit Card;79.75;25;3;4;0.0;0.0;Customer
1607;No;0;919;0;35;None;DSL;18.0;One Year;Yes;Bank Withdrawal;73.0;80;2;3;0.0;0.0;Customer
1608;No;0;902;0;17;None;Fiber Optic;11.0;Two Year;Yes;Bank Withdrawal;94.59705882352942;80;3;2;1.0;0.0;Customer
1609;No;0;919;0;62;Offer B;DSL;2.0;Month-to-Month;Yes;Bank Withdrawal;80.4;50;3;4;0.0;0.0;Customer
1610;Yes;0;940;1;70;Offer A;DSL;21.0;Two Year;Yes;Bank Withdrawal;92.2;65;3;6;0.0;0.0;Customer
1611;No;0;957;0;44;Offer B;Fiber Optic;3.0;One Year;No;Bank Withdrawal;73.85;70;0;1;0.0;2.272727272727273;Customer
1612;Yes;0;937;1;19;None;DSL;26.0;Month-to-Month;No;Bank Withdrawal;66.4;70;1;3;0.0;0.0;Customer
1613;No;0;960;0;39;Offer C;DSL;13.0;One Year;No;Bank Withdrawal;45.05;40;1;3;0.0;0.0;Customer
1614;No;0;947;0;18;None;Fiber Optic;23.0;Two Year;Yes;Bank Withdrawal;84.95;70;1;1;1.0;3.888888888888889;Customer
1615;No;0;955;0;13;Offer D;Cable;13.0;Two Year;No;Credit Card;35.4;60;0;2;0.0;7.6923076923076925;Customer
1616;No;0;959;0;11;Offer D;Fiber Optic;52.0;Month-to-Month;Yes;Bank Withdrawal;79.5;20;0;3;0.0;0.0;Customer
1617;Yes;1;949;1;53;None;DSL;59.0;One Year;No;Credit Card;60.6;30;2;2;0.0;0.0;Customer
1618;No;0;954;0;9;None;Fiber Optic;10.0;Month-to-Month;Yes;Bank Withdrawal;95.5;45;3;2;0.0;0.0;Churned
1619;No;0;934;0;65;Offer B;DSL;18.0;Two Year;Yes;Credit Card;74.2;40;2;5;0.0;0.0;Customer
1620;No;0;908;0;27;None;None;0.0;Month-to-Month;Yes;Credit Card;19.4;45;0;0;1.0;0.0;Customer
1621;No;0;960;0;37;Offer C;Fiber Optic;17.0;Month-to-Month;Yes;Bank Withdrawal;76.25;80;0;2;0.0;0.0;Churned
1622;No;0;921;0;48;None;Fiber Optic;4.0;One Year;Yes;Credit Card;106.1;55;3;4;0.0;0.0;Churned
1623;No;0;935;0;68;None;DSL;58.0;Month-to-Month;Yes;Bank Withdrawal;39.9;20;2;2;0.0;0.0;Customer
1624;Yes;0;957;1;9;Offer E;DSL;7.0;Month-to-Month;Yes;Mailed Check;68.95;45;1;4;0.0;0.0;Customer
1625;No;0;952;0;4;Offer E;None;0.0;One Year;No;Bank Withdrawal;23.9;35;0;1;0.0;0.0;Customer
1626;No;0;917;0;71;None;Fiber Optic;5.0;One Year;No;Credit Card;97.65;45;2;4;0.0;0.0;Customer
1627;Yes;1;945;1;64;Offer B;None;0.0;Two Year;Yes;Bank Withdrawal;19.7;30;0;0;0.0;0.0;Customer
1628;Yes;1;908;1;69;None;None;0.0;Two Year;Yes;Bank Withdrawal;25.6;55;0;1;1.0;0.0;Customer
1629;Yes;0;914;1;68;Offer A;Fiber Optic;4.0;Two Year;Yes;Bank Withdrawal;83.9860294117647;50;0;4;0.0;0.0;Customer
1630;Yes;0;959;1;65;None;Fiber Optic;30.0;One Year;Yes;Bank Withdrawal;106.25;65;2;4;0.0;0.0;Churned
1631;No;0;956;0;4;Offer E;Fiber Optic;73.0;Month-to-Month;Yes;Credit Card;82.85;25;2;2;0.0;0.0;Customer
1632;No;0;954;0;26;None;Fiber Optic;11.0;One Year;Yes;Bank Withdrawal;84.02307692307691;50;0;4;0.0;0.0;Customer
1633;No;0;925;0;17;None;None;0.0;One Year;Yes;Bank Withdrawal;19.65;25;0;0;0.0;0.0;Customer
1634;No;0;925;0;1;None;Fiber Optic;59.0;Month-to-Month;Yes;Bank Withdrawal;69.6;25;1;1;0.0;0.0;Churned
1635;No;0;930;0;7;None;Fiber Optic;16.0;Month-to-Month;Yes;Bank Withdrawal;78.55;50;0;3;1.0;0.0;Customer
1636;No;0;953;0;1;Offer E;Fiber Optic;30.0;Month-to-Month;Yes;Bank Withdrawal;70.1;60;0;1;0.0;0.0;Churned
1637;Yes;0;926;1;49;None;DSL;5.0;One Year;Yes;Bank Withdrawal;51.8;55;3;1;0.0;1.0204081632653061;Churned
1638;Yes;0;940;1;65;Offer B;Fiber Optic;23.0;Month-to-Month;Yes;Bank Withdrawal;105.05;35;3;3;0.0;0.9230769230769231;Customer
1639;No;0;932;0;2;None;Fiber Optic;19.0;Month-to-Month;No;Bank Withdrawal;89.5;70;2;3;0.0;0.0;Churned
1640;Yes;0;932;1;35;None;DSL;20.0;One Year;Yes;Bank Withdrawal;73.45;60;3;3;0.0;0.0;Customer
1641;No;0;928;0;9;None;DSL;9.0;Month-to-Month;Yes;Credit Card;34.7;45;1;1;0.0;0.0;Churned
1642;Yes;1;941;1;32;Offer C;Cable;19.0;Month-to-Month;No;Bank Withdrawal;76.3;55;2;5;0.0;0.0;Customer
1643;No;0;923;0;6;None;Cable;48.0;One Year;Yes;Credit Card;49.25;30;3;2;0.0;0.0;Customer
1644;Yes;1;937;1;72;None;None;0.0;Two Year;No;Bank Withdrawal;20.35;25;0;0;0.0;0.0;Customer
1645;Yes;1;922;1;69;Offer A;DSL;12.0;Two Year;Yes;Bank Withdrawal;59.75;30;0;4;0.0;0.0;Customer
1646;Yes;0;920;0;52;None;Fiber Optic;71.0;Month-to-Month;Yes;Credit Card;102.7;30;3;4;0.0;0.0;Customer
1647;No;0;928;0;16;None;Fiber Optic;82.0;Month-to-Month;Yes;Credit Card;74.55;20;0;2;0.0;0.0;Customer
1648;No;0;959;0;9;Offer E;DSL;26.0;Month-to-Month;No;Mailed Check;44.95;55;0;0;0.0;1.1111111111111112;Churned
1649;No;0;956;0;68;None;Fiber Optic;17.0;Two Year;No;Credit Card;110.25;45;3;4;0.0;0.4411764705882353;Customer
1650;No;0;919;0;22;None;Fiber Optic;8.0;Month-to-Month;Yes;Bank Withdrawal;89.05;40;2;3;0.0;0.0;Customer
1651;Yes;1;960;1;6;None;DSL;48.0;Month-to-Month;No;Bank Withdrawal;54.85;25;1;1;1.0;0.0;Customer
1652;Yes;0;928;1;18;Offer D;Fiber Optic;59.0;Month-to-Month;Yes;Bank Withdrawal;88.85;25;2;3;1.0;0.0;Customer
1653;Yes;1;956;1;26;Offer C;DSL;19.0;One Year;No;Credit Card;50.35;30;0;2;0.0;0.0;Customer
1654;Yes;0;919;1;68;None;DSL;15.0;Two Year;No;Credit Card;60.3;45;3;4;0.0;0.0;Customer
1655;Yes;0;926;1;28;None;None;0.0;One Year;No;Mailed Check;25.55;20;0;1;0.0;0.0;Customer
1656;No;0;934;0;22;Offer D;None;0.0;Two Year;No;Credit Card;26.25;45;0;1;0.0;0.0;Customer
1657;Yes;1;931;1;25;None;None;0.0;Month-to-Month;Yes;Credit Card;19.15;50;0;0;0.0;0.0;Customer
1658;Yes;0;922;1;34;Offer C;Fiber Optic;29.0;Month-to-Month;Yes;Credit Card;85.2;80;1;2;0.0;0.0;Customer
1659;No;0;960;0;7;Offer E;None;0.0;Month-to-Month;No;Mailed Check;20.75;45;0;0;0.0;0.0;Customer
1660;No;0;939;0;16;Offer D;None;0.0;Month-to-Month;Yes;Credit Card;20.6;35;0;0;0.0;0.0;Customer
1661;Yes;1;932;1;9;None;None;0.0;One Year;No;Credit Card;20.25;60;0;0;0.0;0.0;Customer
1662;No;0;926;0;15;None;Fiber Optic;12.0;Month-to-Month;Yes;Bank Withdrawal;79.4;80;1;1;0.0;0.0;Churned
1663;No;0;920;0;2;None;DSL;11.0;Month-to-Month;No;Mailed Check;44.65;45;0;0;0.0;5.0;Churned
1664;Yes;1;902;1;71;Offer A;None;0.0;Two Year;No;Bank Withdrawal;19.9;35;0;0;0.0;0.0;Customer
1665;Yes;0;925;1;50;Offer B;DSL;11.0;One Year;Yes;Credit Card;84.15;55;3;5;0.0;0.0;Customer
1666;Yes;0;921;1;4;Offer E;Fiber Optic;19.0;Month-to-Month;Yes;Bank Withdrawal;84.8;25;1;4;0.0;0.0;Churned
1667;No;0;921;0;17;None;DSL;2.0;Month-to-Month;Yes;Bank Withdrawal;45.05;70;0;1;0.0;0.0;Churned
1668;Yes;0;917;1;8;Offer E;DSL;41.0;Two Year;No;Credit Card;65.5;25;2;3;0.0;0.0;Customer
1669;No;0;956;0;54;Offer B;Fiber Optic;18.0;One Year;No;Bank Withdrawal;84.4;40;0;4;0.0;0.0;Customer
1670;No;0;933;0;63;None;DSL;47.0;Two Year;Yes;Bank Withdrawal;86.7;25;3;5;0.0;0.0;Customer
1671;No;0;928;0;5;Offer E;Fiber Optic;59.0;Month-to-Month;No;Bank Withdrawal;80.2;25;1;1;0.0;0.0;Customer
1672;No;0;954;0;54;None;Fiber Optic;24.0;Month-to-Month;No;Credit Card;89.8;55;1;3;0.0;0.0;Customer
1673;Yes;0;917;1;65;Offer B;Fiber Optic;9.0;Two Year;Yes;Credit Card;105.85;65;3;4;0.0;0.0;Customer
1674;No;0;913;0;4;None;DSL;41.0;Month-to-Month;Yes;Bank Withdrawal;50.55;25;0;2;0.0;0.0;Customer
1675;Yes;1;953;1;22;Offer D;None;0.0;Month-to-Month;No;Credit Card;19.9;25;0;0;0.0;0.0;Customer
1676;No;0;900;0;1;None;DSL;10.0;Month-to-Month;Yes;Credit Card;44.15;45;0;1;0.0;0.0;Churned
1677;Yes;1;913;1;66;Offer A;None;0.0;One Year;Yes;Credit Card;25.7;30;0;1;0.0;0.0;Customer
1678;No;0;922;0;40;None;Fiber Optic;15.0;Month-to-Month;Yes;Credit Card;104.5;50;3;4;0.0;0.0;Churned
1679;Yes;1;954;1;62;Offer B;Fiber Optic;52.0;Month-to-Month;Yes;Bank Withdrawal;105.5;20;3;3;0.0;2.4193548387096775;Customer
1680;No;0;917;0;53;Offer B;DSL;24.0;One Year;Yes;Bank Withdrawal;61.1;35;2;2;0.0;0.0;Customer
1681;No;0;940;0;51;None;DSL;10.0;One Year;No;Bank Withdrawal;60.15;50;3;4;0.0;0.0;Customer
1682;No;0;935;0;11;Offer D;None;0.0;Month-to-Month;Yes;Credit Card;20.45;65;0;0;0.0;0.0;Customer
1683;Yes;0;956;1;34;None;Fiber Optic;4.0;Month-to-Month;Yes;Bank Withdrawal;94.25;75;1;4;0.0;0.0;Churned
1684;Yes;0;936;1;65;None;Cable;14.0;Two Year;Yes;Credit Card;59.8;45;1;2;0.0;0.0;Customer
1685;No;0;945;0;55;Offer B;Cable;20.0;Two Year;Yes;Mailed Check;64.75;65;2;3;0.0;0.0;Customer
1686;Yes;0;908;1;47;None;Cable;18.0;Month-to-Month;Yes;Bank Withdrawal;58.6;55;1;2;0.0;0.0;Customer
1687;No;0;961;0;4;Offer E;DSL;10.0;Month-to-Month;No;Credit Card;55.5;55;1;1;0.0;0.0;Customer
1688;Yes;0;928;1;67;Offer A;Fiber Optic;30.0;Two Year;Yes;Bank Withdrawal;111.3;60;3;5;1.0;0.0;Customer
1689;Yes;0;959;1;71;None;DSL;18.0;Two Year;Yes;Credit Card;83.3;55;3;5;1.0;0.0;Customer
1690;Yes;1;955;1;21;Offer D;Cable;17.0;Month-to-Month;Yes;Bank Withdrawal;44.95;35;0;1;0.0;0.0;Customer
1691;No;0;958;0;56;Offer B;None;0.0;Two Year;No;Bank Withdrawal;19.7;40;0;0;0.0;0.0;Customer
1692;Yes;0;921;1;25;Offer C;Fiber Optic;10.0;Month-to-Month;Yes;Bank Withdrawal;104.95;50;3;4;0.0;0.0;Churned
1693;No;0;943;0;33;Offer C;Fiber Optic;27.0;Two Year;No;Bank Withdrawal;80.6;30;0;3;0.0;0.0;Customer
1694;Yes;0;928;1;71;Offer A;Fiber Optic;18.0;Two Year;Yes;Bank Withdrawal;115.05;70;2;6;0.0;0.0;Customer
1695;Yes;0;960;1;46;Offer B;Fiber Optic;3.0;One Year;Yes;Bank Withdrawal;94.65;45;1;4;0.0;0.0;Customer
1696;Yes;1;910;1;8;None;DSL;20.0;Month-to-Month;Yes;Credit Card;51.3;45;0;2;1.0;0.0;Customer
1697;No;0;920;0;17;None;Fiber Optic;19.0;Month-to-Month;Yes;Bank Withdrawal;83.55;60;1;2;0.0;0.0;Customer
1698;Yes;0;900;1;7;None;Fiber Optic;11.0;Month-to-Month;Yes;Bank Withdrawal;86.5;60;1;1;0.0;2.857142857142857;Churned
1699;No;1;919;0;30;Offer C;DSL;17.0;Month-to-Month;Yes;Bank Withdrawal;44.5;60;3;1;0.0;0.0;Customer
1700;Yes;0;902;1;54;None;Fiber Optic;17.0;One Year;Yes;Bank Withdrawal;99.1;70;3;3;0.0;0.0;Customer
1701;No;0;951;0;7;None;DSL;14.0;One Year;No;Credit Card;35.3;45;0;3;0.0;0.0;Customer
1702;Yes;0;917;1;72;Offer A;Fiber Optic;24.0;Two Year;Yes;Bank Withdrawal;110.15;55;3;4;0.0;0.9722222222222222;Customer
1703;Yes;0;932;1;33;None;None;0.0;Month-to-Month;No;Credit Card;20.05;35;0;0;0.0;0.0;Customer
1704;Yes;0;921;1;41;None;DSL;69.0;One Year;Yes;Bank Withdrawal;60.3;20;1;4;0.0;0.0;Customer
1705;Yes;0;946;1;71;Offer A;Cable;8.0;Two Year;No;Credit Card;58.65;30;3;4;0.0;0.0;Customer
1706;No;0;959;0;8;None;DSL;23.0;Month-to-Month;No;Credit Card;43.55;45;0;0;0.0;1.25;Customer
1707;No;0;900;0;54;None;DSL;21.0;One Year;No;Bank Withdrawal;44.1;50;2;3;0.0;0.0;Customer
1708;No;0;925;0;1;None;Fiber Optic;27.0;Month-to-Month;Yes;Bank Withdrawal;75.9;25;0;2;0.0;0.0;Churned
1709;No;0;916;0;16;Offer D;Fiber Optic;17.0;Month-to-Month;No;Bank Withdrawal;72.65;35;0;2;0.0;0.0;Churned
1710;No;0;912;0;19;None;DSL;21.0;Month-to-Month;Yes;Bank Withdrawal;39.65;50;1;2;0.0;0.0;Churned
1711;Yes;0;920;1;71;None;Cable;18.0;Two Year;No;Credit Card;85.75;60;3;6;1.0;0.0;Customer
1712;No;0;954;0;53;None;DSL;25.0;One Year;Yes;Bank Withdrawal;53.6;35;1;5;0.0;0.0;Customer
1713;No;0;936;0;56;Offer B;Fiber Optic;28.0;Month-to-Month;No;Bank Withdrawal;98.6;60;3;3;0.0;0.0;Customer
1714;No;0;949;0;1;None;DSL;14.0;Month-to-Month;Yes;Credit Card;50.1;45;0;2;0.0;0.0;Churned
1715;Yes;0;960;1;42;None;Fiber Optic;18.0;Month-to-Month;Yes;Credit Card;77.95;55;1;1;0.0;0.0;Churned
1716;No;0;945;0;57;None;DSL;20.0;One Year;Yes;Credit Card;54.65;55;0;3;0.0;0.0;Customer
1717;Yes;0;921;1;5;Offer E;Fiber Optic;11.0;Month-to-Month;Yes;Bank Withdrawal;81.0;70;0;2;1.0;2.0;Churned
1718;Yes;1;935;1;24;None;None;0.0;Two Year;Yes;Credit Card;19.7;45;0;0;0.0;0.0;Customer
1719;No;0;905;0;52;None;DSL;5.0;One Year;No;Credit Card;57.95;35;0;4;0.0;0.0;Customer
1720;No;0;940;0;13;None;Fiber Optic;15.0;Month-to-Month;No;Mailed Check;98.15;45;3;2;0.0;3.076923076923077;Churned
1721;Yes;0;960;1;56;Offer B;DSL;11.0;One Year;No;Bank Withdrawal;65.2;60;1;3;0.0;0.0;Customer
1722;Yes;0;934;1;4;None;None;0.0;Month-to-Month;No;Bank Withdrawal;20.15;35;0;0;0.0;0.0;Customer
1723;No;0;956;0;1;Offer E;Fiber Optic;8.0;Month-to-Month;Yes;Credit Card;74.3;30;0;2;0.0;0.0;Churned
1724;Yes;0;902;1;4;None;Fiber Optic;58.0;Month-to-Month;Yes;Bank Withdrawal;81.3625;25;1;2;0.0;0.0;Churned
1725;No;0;925;0;5;Offer E;DSL;26.0;Month-to-Month;No;Bank Withdrawal;28.45;75;0;2;0.0;0.0;Churned
1726;Yes;0;954;1;23;None;Fiber Optic;11.0;One Year;Yes;Bank Withdrawal;90.45;75;2;0;0.0;1.3043478260869565;Customer
1727;No;0;923;0;64;Offer B;None;0.0;One Year;No;Mailed Check;24.7;55;0;1;0.0;0.0;Customer
1728;No;0;919;0;42;Offer B;Cable;41.0;One Year;Yes;Bank Withdrawal;60.15;25;1;4;0.0;0.0;Customer
1729;No;0;921;0;9;None;DSL;2.0;Month-to-Month;No;Bank Withdrawal;45.15;40;0;1;0.0;0.0;Churned
1730;No;0;955;0;26;Offer C;Fiber Optic;9.0;Two Year;Yes;Bank Withdrawal;93.6;65;3;2;0.0;0.0;Customer
1731;Yes;0;955;1;72;None;Fiber Optic;25.0;Two Year;No;Credit Card;115.8;50;3;6;0.0;0.0;Customer
